                           TxHash                                 TxIx        Amount
--------------------------------------------------------------------------------------
12109a8d409458ee03f11029fb89f396aa451f92420b740c28506d314caf9217     2        1823807 lovelace + TxOutDatumNone
21dfcd8a2936fee1e2ed7f1bba0a5a0f54aada268b74fdd6f7c44b02d631128c     2        1823807 lovelace + TxOutDatumNone
429233fcf9259e2b5351032c8e1e0267488f763cd408f1a93c004ee5c232fc2f     2        1823807 lovelace + TxOutDatumNone
47665eb1170c9c062239ddb29412a4f2a9808f92649207cb81d5e8c4362d9952     1        9827723 lovelace + TxOutDatumNone
62a54716c527a42f085ae03554e3ef17b7387cf536d6fddd95eb8bf7f61d5e29     2        1823807 lovelace + TxOutDatumNone
888b714969321d696018763d243af1fcc770226180a7b0e16d87aee933cb9a7d     2        1817779 lovelace + TxOutDatumNone
9d5f33fefe73105c7d8b9850dc92ec5146f2dcd70f497f07e3ecdd9fa64da84c     2        1823807 lovelace + TxOutDatumNone
a24464f4d0c6d5d3457448bbfef4d7922fb8aa3d12c5482af0712ba635952d61     1        29818313158 lovelace + 7 b7047182a00354f8c4cd7b01c2faab230e01d2f33a6dcfd0c781f7ec.4d7943726f776446756e64 + TxOutDatumNone
a24464f4d0c6d5d3457448bbfef4d7922fb8aa3d12c5482af0712ba635952d61     2        1823807 lovelace + TxOutDatumNone
a306cff02e274389f860e8b22540c13500f035884d6f589c3af2e8c909291a07     2        1823807 lovelace + TxOutDatumNone
c922b8fd03d54ee8ab8145834f853189fd8a192360f700dd5bb44ffb9f720bbd     1        20084946468 lovelace + TxOutDatumNone
c9bbfa011b4369e45c325575e239c6351e5e6dea2d5e8014d733717e421e989c     2        1823807 lovelace + TxOutDatumNone
ceb88ab46e4c00059fa30bfab5c7b25198550c2f12dd76604d041053e367820a     2        1823807 lovelace + TxOutDatumNone
f3d71d593c3b0f89a3bafc3c1a04e363f450af76a43eb81fe6a65b97d0049a8c     2        1817779 lovelace + TxOutDatumNone
fa1e2b8ab958a3d0cf2449ac3a8521e21e0a28c1e541a5bbc5a0262e211b5296     2        1823807 lovelace + TxOutDatumNone
